ime,kraj,doplacilo,vegetarijansko,dostava,dostop_za_invalide,odprto_ob_vikendih,nov_lokal
"""SOLE"" OKREPČEVALNICA, PIZZERIJA, SLAŠČIČARNA IN CATERING",LJUBLJANA,2.87,,,service-3,service-20,
ABI FALAFEL,LJUBLJANA,3.9,service-1,,service-3,service-20,
AGA KEBAPČI,LJUBLJANA,1.0,,,service-3,,
AMBIENT,LJUBLJANA,2.7,service-1,,,,
ANTARO,LJUBLJANA,3.37,service-1,,service-3,,
APAČI,SLOVENJ GRADEC,3.9,service-1,,service-3,service-20,
APAČI - DOSTAVA,SLOVENJ GRADEC,3.9,service-1,service-5,,service-20,
"AROMA, RESTAVRACIJA IN PIZZERIJA",LJUBLJANA,4.37,service-1,,,service-20,
AZIJSKA RESTAVRACIJA HAN,LJUBLJANA,3.67,service-1,,,service-20,
AZIJSKA RESTAVRACIJA TLOFT,LJUBLJANA,3.17,service-1,,,service-20,
B2 RESTAVRACIJA,LJUBLJANA,4.37,service-1,,service-3,,
B2 RESTAVRACIJA-DOSTAVA,LJUBLJANA,4.37,service-1,service-5,,,
BABICA,LJUBLJANA,4.0,service-1,,service-3,service-20,
BACK WERK,LJUBLJANA,1.87,service-1,,service-3,,
BALKAN EXPRESS,LJUBLJANA,3.67,service-1,,,,
BAR ENKA,LJUBLJANA,1.0,service-1,,service-3,,
BARBADO,LJUBLJANA,3.4,service-1,,service-3,,
"BIOTEHNIŠKA FAKULTETA, MENZA BF",LJUBLJANA,2.57,service-1,,,,
BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA,LJUBLJANA,2.67,service-1,,,,
BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA,LJUBLJANA,2.67,service-1,,,,
BISTRO ARTY+,MARIBOR,3.97,service-1,,,,
BISTRO ŠUMI,LJUBLJANA,3.0,service-1,,service-3,,
BISTRO TANJA- DOSTAVA,MURSKA SOBOTA,3.37,service-1,service-5,,service-20,
BISTRO VILLADOMUS,KOPER/CAPODISTRIA,3.1,service-1,,service-3,,
BOHOR,ROGAŠKA SLATINA,4.0,service-1,,service-3,service-20,
BON CAFE LUCIJA,PORTOROŽ/PORTOROSE,3.37,service-1,,service-3,service-20,
BOWLING CENTER STRIKE,MARIBOR,2.87,service-1,,,,
BRATJE EREN TAHIRI,LJUBLJANA,2.37,service-1,,service-3,service-20,
BRUC BAR,MARIBOR,1.5,,,service-3,,
BUF KRANJ,KRANJ,3.57,,,service-3,,
BURGERMAISTER,MARIBOR,2.98,service-1,,,service-20,
CANTANTE CAFE TABOR,MARIBOR,3.07,service-1,,,service-20,
CANTANTE CAFE TABOR - DOSTAVA,MARIBOR,3.57,service-1,service-5,,service-20,
CANTINA MEXICANA KNAFELJ,LJUBLJANA,4.37,service-1,,service-3,,
CANTINA MEXICANA RUDNIK,LJUBLJANA,3.77,service-1,,service-3,,
CENTRALNA POSTAJA,LJUBLJANA,2.37,,,,service-20,
CITY GRILL,MARIBOR,2.3,,,service-3,service-20,
CITY GRILL - DOSTAVA,MARIBOR,2.5,,service-5,,service-20,
CITY PIZZA EXPRESS - DOSTAVA,KOPER/CAPODISTRIA,4.3,service-1,service-5,,,
CITYBURGER,KOPER/CAPODISTRIA,3.9,service-1,,service-3,,
CUTTY FOOD CORNER,LJUBLJANA,1.47,,,service-3,service-20,
ČEVABDŽINICA SARAJEVO 84,KOPER/CAPODISTRIA,3.87,service-1,,service-3,service-20,
ČEVABDŽINICA SARAJEVO 84,KOPER/CAPODISTRIA,3.87,service-1,,service-3,service-20,
ČEVABDŽINICA SARAJEVO 84 - DOSTAVA,KOPER/CAPODISTRIA,4.07,service-1,service-5,,service-20,
"DA BU DA, AZIJSKA RESTAVRACIJA",LJUBLJANA,4.37,service-1,,,,
