ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
"""SOLE"" OKREPČEVALNICA, PIZZERIJA, SLAŠČIČARNA IN CATERING","Kolodvorska ulica 18, 1000 Ljubljana",LJUBLJANA,4,2.87,NE,DA,NE,DA,NE
ABI FALAFEL,"Trubarjeva cesta 40, 1000 Ljubljana",LJUBLJANA,4,3.9,DA,DA,NE,DA,NE
AGA KEBAPČI,"Trubarjeva 47, 1000 Ljubljana",LJUBLJANA,4,1.0,NE,DA,NE,NE,NE
AMBIENT,"Topniška 29a, 1000 Ljubljana",LJUBLJANA,0,2.7,DA,NE,NE,NE,NE
ANTARO,"Leskoškova 9e, 1000 Ljubljana",LJUBLJANA,0,3.37,DA,DA,NE,NE,NE
APAČI,"Pohorska cesta 17b, 2380 Slovenj Gradec",SLOVENJ GRADEC,2,3.9,DA,DA,NE,DA,NE
APAČI - DOSTAVA,"Pohorska cesta 17b, 2380 Slovenj Gradec",SLOVENJ GRADEC,5,3.9,DA,NE,DA,DA,NE
"AROMA, RESTAVRACIJA IN PIZZERIJA","Ribji trg 2, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,NE,DA,NE
AZIJSKA RESTAVRACIJA HAN,"Kongresni trg 3, 1000 Ljubljana",LJUBLJANA,4,3.67,DA,NE,NE,DA,NE
AZIJSKA RESTAVRACIJA TLOFT,"Gosposvetska cesta 4, 1000 Ljubljana",LJUBLJANA,4,3.17,DA,NE,NE,DA,NE
B2 RESTAVRACIJA,"Koprska 94, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,DA,NE,NE,NE
B2 RESTAVRACIJA-DOSTAVA,"Koprska 94, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,DA,NE,NE
BABICA,"Tržaška cesta 200, 1000 Ljubljana",LJUBLJANA,4,4.0,DA,DA,NE,DA,NE
BACK WERK,"Slovenska cesta 52, 1000 Ljubljana",LJUBLJANA,3,1.87,DA,DA,NE,NE,NE
BALKAN EXPRESS,"Šmartinska 152 g, 1000 Ljubljana",LJUBLJANA,4,3.67,DA,NE,NE,NE,NE
BAR ENKA,"Baragova 16, 1000 Ljubljana",LJUBLJANA,5,1.0,DA,DA,NE,NE,NE
BARBADO,"Dunajska cesta 106, 1000 Ljubljana",LJUBLJANA,4,3.4,DA,DA,NE,NE,NE
"BIOTEHNIŠKA FAKULTETA, MENZA BF","Večna pot 111, 1000 Ljubljana",LJUBLJANA,5,2.57,DA,NE,NE,NE,NE
BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA,"Ižanska cesta 10, 1000 Ljubljana",LJUBLJANA,4,2.67,DA,NE,NE,NE,NE
BIOTEHNIŠKI IZOBRAŽEVALNI CENTER LJUBLJANA,"Cesta v Mestni log 47, 1000 Ljubljana",LJUBLJANA,0,2.67,DA,NE,NE,NE,NE
BISTRO ARTY+,"Slovenska ulica 20, 2000 Maribor",MARIBOR,0,3.97,DA,NE,NE,NE,DA
BISTRO ŠUMI,"Kardeljeva ploščad 5, 1000 Ljubljana",LJUBLJANA,5,3.0,DA,DA,NE,NE,NE
BISTRO TANJA- DOSTAVA,"Cankarjeva ulica 58, 9000 Murska Sobota",MURSKA SOBOTA,0,3.37,DA,NE,DA,DA,NE
BISTRO VILLADOMUS,"Vojkovo nabrežje 12, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,3.1,DA,DA,NE,NE,NE
BOHOR,"Kidričeva ulica 23, 3250 Rogaška Slatina",ROGAŠKA SLATINA,4,4.0,DA,DA,NE,DA,NE
BON CAFE LUCIJA,"Obala 114, 6320 Portorož/Portorose",PORTOROŽ/PORTOROSE,4,3.37,DA,DA,NE,DA,NE
BOWLING CENTER STRIKE,"Špelina ulica 17a, 2000 Maribor",MARIBOR,5,2.87,DA,NE,NE,NE,NE
BRATJE EREN TAHIRI,"Viška cesta 2, 1000 Ljubljana",LJUBLJANA,5,2.37,DA,DA,NE,DA,NE
BRUC BAR,"Razlagova 9, 2000 Maribor",MARIBOR,4,1.5,NE,DA,NE,NE,DA
BUF KRANJ,"Stara cesta 25b, 4000 Kranj",KRANJ,4,3.57,NE,DA,NE,NE,NE
BURGERMAISTER,"Slovenska ulica 20, 2000 Maribor",MARIBOR,4,2.98,DA,NE,NE,DA,NE
CANTANTE CAFE TABOR,"Ulica Pariške komune 37, 2000 Maribor",MARIBOR,4,3.07,DA,NE,NE,DA,NE
CANTANTE CAFE TABOR - DOSTAVA,"Ulica Pariške komune 37, 2000 Maribor",MARIBOR,5,3.57,DA,NE,DA,DA,NE
CANTINA MEXICANA KNAFELJ,"Knafljev prehod 2, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,DA,NE,NE,NE
CANTINA MEXICANA RUDNIK,"Jurčkova cesta 223, 1000 Ljubljana",LJUBLJANA,4,3.77,DA,DA,NE,NE,NE
CENTRALNA POSTAJA,"Trubarjeva cesta 23, 1000 Ljubljana",LJUBLJANA,4,2.37,NE,NE,NE,DA,NE
CITY GRILL,"Slovenska 18, 2000 Maribor",MARIBOR,4,2.3,NE,DA,NE,DA,NE
CITY GRILL - DOSTAVA,"Slovenska 18, 2000 Maribor",MARIBOR,4,2.5,NE,NE,DA,DA,NE
CITY PIZZA EXPRESS - DOSTAVA,"Ankaranska 7, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,4,4.3,DA,NE,DA,NE,NE
CITYBURGER,"Ankaranska 7, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,3.9,DA,DA,NE,NE,NE
CUTTY FOOD CORNER,"Knafljev prehod 1, 1000 Ljubljana",LJUBLJANA,4,1.47,NE,DA,NE,DA,NE
ČEVABDŽINICA SARAJEVO 84,"Tomažičev trg 1, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,3.87,DA,DA,NE,DA,NE
ČEVABDŽINICA SARAJEVO 84,"Gramšijev trg 8, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,0,3.87,DA,DA,NE,DA,NE
ČEVABDŽINICA SARAJEVO 84 - DOSTAVA,"Gramšijev trg 8, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,4.07,DA,NE,DA,DA,NE
"DA BU DA, AZIJSKA RESTAVRACIJA","Šubičeva 1a, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,NE,NE,NE
DIFOOD-EAT GOOD,"Gortanova 21, 1000 Ljubljana",LJUBLJANA,5,1.7,NE,DA,NE,NE,NE
DIJAŠKI DOM IVANA CANKARJA,"Poljanska cesta 26, 1000 Ljubljana",LJUBLJANA,4,2.4,DA,NE,NE,NE,NE
DIJAŠKI DOM LIZIKE JANČAR,"Titova cesta 24a, 2000 Maribor",MARIBOR,0,2.07,DA,NE,NE,NE,NE
DIJAŠKI DOM MARIBOR,"Gosposvetska cesta 89, 2000 Maribor",MARIBOR,5,2.37,DA,NE,NE,NE,NE
DIJAŠKI DOM POLJANE,"Potočnikova ulica 3, 1000 Ljubljana",LJUBLJANA,0,2.2,DA,NE,NE,NE,NE
DIJAŠKI DOM PORTOROŽ,"Sončna pot 20, 6320 Portorož/Portorose",PORTOROŽ/PORTOROSE,0,3.0,DA,NE,NE,NE,DA
DIJAŠKI DOM TABOR,"Vidovdanska 7, 1000 Ljubljana",LJUBLJANA,5,2.4,DA,NE,NE,NE,NE
